Variant ID,Block_Id,Code Range(jimple),SootMethod,SootClass
"1","[5,17,18,19]","caller@equals[1,2,4,5,7:9]callee@equalsWithTolerance","[caller@equals;callee@equalsWithTolerance]","org.hipi.image.ByteImage"
"2","[5,6,7,8,9,10,12,13]","caller@equalsWithTolerance[1,3,9:16,19,21:30,32]","[caller@equalsWithTolerance;]","org.hipi.image.ByteImage"
"3","[5,12]","caller@equalsWithTolerance[2,29,30]","[caller@equalsWithTolerance;]","org.hipi.image.ByteImage"
"4","[34,46,47,48]","caller@equals[1,2,4,5,7:9]callee@equalsWithTolerance","[caller@equals;callee@equalsWithTolerance]","org.hipi.image.FloatImage"
"5","[33,34,35,36,37,38,39,41,42]","caller@equalsWithTolerance[1,3,9:16,19,21:28,30,31,33]callee@getElemFloat","[caller@equalsWithTolerance;callee@getElemFloat]","org.hipi.image.PixelArrayorg.hipi.image.FloatImage"
"6","[34,41]","caller@equalsWithTolerance[2,29:31]","[caller@equalsWithTolerance;]","org.hipi.image.FloatImage"
"7","[24,150]","caller@<init>[1,10:12]callee@<init>[3:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"8","[24,150]","caller@<init>[2,10:12]callee@<init>[3:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"9","[24,150]","caller@<init>[3,10:12]callee@<init>[3:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"10","[26,27,28,29,30,150]","caller@<init>[1,11:13,16:18,23:29]callee@setElemFloat[1,2]callee@setHeadercallee@<init>[3:5]","[caller@<init>;callee@setHeader,<init>,setElemFloat]","org.hipi.image.HipiImageHeaderorg.hipi.image.PixelArrayorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"11","[26,27,28,29,30,150]","caller@<init>[2,11:13,16:18,23:29]callee@setElemFloat[1,2]callee@setHeadercallee@<init>[3:5]","[caller@<init>;callee@setHeader,<init>,setElemFloat]","org.hipi.image.HipiImageHeaderorg.hipi.image.PixelArrayorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"12","[26,27,28,29,30,150]","caller@<init>[3,11:13,16:18,23:29]callee@setElemFloat[1,2]callee@setHeadercallee@<init>[3:5]","[caller@<init>;callee@setHeader,<init>,setElemFloat]","org.hipi.image.HipiImageHeaderorg.hipi.image.PixelArrayorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"13","[26,27,28,30]","caller@<init>[4,14,15,18,27,28]callee@setElemFloat","[caller@<init>;callee@setElemFloat]","org.hipi.image.PixelArrayorg.hipi.image.FloatImage"
"14","[25,150]","caller@<init>[1,10:12]callee@<init>[1:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"15","[25,150]","caller@<init>[2,10:12]callee@<init>[1:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"16","[25,150]","caller@<init>[3,10:12]callee@<init>[1:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"17","[25,150]","caller@<init>[4,10:12]callee@<init>[1:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
"18","[25,150]","caller@<init>[5,10:12]callee@<init>[1:5]callee@setHeader","[caller@<init>;callee@setHeader,<init>]","org.hipi.image.HipiImageHeaderorg.hipi.image.RasterImageorg.hipi.image.FloatImage"
