VariantPath Id,CallSite,Variants List,Classes,Methods
1,"-","[1]","[org.hipi.image.ByteImage]","[equals->equalsWithTolerance]"
2,"-","[3,2]","[org.hipi.image.ByteImage]","[equalsWithTolerance->]"
3,"-","[4]","[org.hipi.image.FloatImage]","[equals->equalsWithTolerance]"
4,"-","[6,5]","[org.hipi.image.PixelArray,org.hipi.image.FloatImage]","[equalsWithTolerance->getElemFloat]"
5,"-","[8,7,9]","[org.hipi.image.HipiImageHeader,org.hipi.image.FloatImage,org.hipi.image.RasterImage]","[<init>->setHeader,<init>]"
6,"-","[10,13,12,11]","[org.hipi.image.HipiImageHeader,org.hipi.image.PixelArray,org.hipi.image.FloatImage,org.hipi.image.RasterImage]","[<init>->setHeader,<init>,setElemFloat]"
7,"-","[17,15,16,18,14]","[org.hipi.image.HipiImageHeader,org.hipi.image.FloatImage,org.hipi.image.RasterImage]","[<init>->setHeader,<init>]"
8,"-","[19]","[org.hipi.image.FloatImage]","[add->checkCompatibleInputImage]"
9,"-","[20]","[org.hipi.image.FloatImage]","[multiply->checkCompatibleInputImage]"
10,"-","[21]","[org.hipi.image.HipiImage,org.hipi.image.HipiImageHeader]","[getExifData->getExifData]"
11,"-","[22]","[org.hipi.image.HipiImage,org.hipi.image.HipiImageHeader]","[getMetaData->getMetaData]"
12,"-","[23]","[org.hipi.image.HipiImage,org.hipi.image.HipiImageFactory]","[createImage->setHeader]"
13,"-","[24]","[org.hipi.image.HipiImageFactory]","[<init>->findImageClass]"
14,"-","[25]","[org.hipi.image.HipiImageHeader]","[compareTo->compareTo]"
15,"-","[26]","[org.hipi.image.HipiImageHeader]","[<init>->readFields]"
16,"-","[32,31,33,27,28,29,30]","[org.hipi.image.HipiImageHeader]","[<init>->setMetaDataFromBytes]"
17,"-","[34]","[org.hipi.image.HipiImageHeader,org.hipi.image.HipiImageHeader$HipiColorSpace,org.hipi.image.HipiImageHeader$HipiImageFormat]","[readFields->fromInteger,setMetaDataFromBytes,fromInteger]"
18,"-","[35]","[org.hipi.image.PixelArray]","[getElemDouble->]"
19,"-","[36]","[org.hipi.image.PixelArray]","[getElemFloat->]"
20,"-","[38,37]","[org.hipi.image.PixelArray]","[setElemDouble->]"
21,"-","[40,39]","[org.hipi.image.PixelArray]","[setElemFloat->]"
22,"-","[41]","[org.hipi.image.PixelArrayByte]","[getElemNonLinSRGB->getElem]"
23,"-","[42]","[org.hipi.image.PixelArray,org.hipi.image.PixelArrayByte]","[<init>-><init>]"
24,"-","[44,43]","[org.hipi.image.PixelArrayByte]","[setElemNonLinSRGB->setElem]"
